SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,PRICE_PER_SQUARE_FEET,HOA_MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,LISTING_URL,SOURCE,MLS_NUMBER,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-8-2020,Single Family Residential,30037 Manzanita Ct,Temecula,CA,92591.0,449000,3.0,2.5,699 - Not Defined,1442.0,4356.0,1999.0,8.0,311.0,110.0,Sold,,,http://www.redfin.com/CA/Temecula/30037-Manzanita-Ct-92591/home/6295163,CRMLS,SW20183367,N,Y,33.5125049,-117.13547150000001
PAST SALE,September-23-2020,Single Family Residential,45759 Klamath Ct,Temecula,CA,92592.0,490000,4.0,2.5,SRCAR - Southwest Riverside County,2118.0,3485.0,2006.0,23.0,231.0,140.0,Sold,,,http://www.redfin.com/CA/Temecula/45759-Klamath-Ct-92592/home/6680070,CRMLS,SW20169488,N,Y,33.4623061,-117.1087187
PAST SALE,September-25-2020,Single Family Residential,30830 Eastgate,Temecula,CA,92591.0,540000,4.0,2.5,699 - Not Defined,3149.0,8712.0,2004.0,21.0,171.0,,Sold,,,http://www.redfin.com/CA/Temecula/30830-Eastgate-Pkwy-92591/home/6466552,CRMLS,SW20167529,N,Y,33.5466522,-117.12153470000001
PAST SALE,October-15-2020,Single Family Residential,40463 Calle Cancion,Temecula,CA,92592.0,898800,3.0,3.5,SRCAR - Southwest Riverside County,2594.0,103237.0,1984.0,1.0,346.0,,Sold,,,http://www.redfin.com/CA/Temecula/40463-Calle-Cancion-92592/home/6494563,CRMLS,SW20118702,N,Y,33.5266291,-117.04884950000002
PAST SALE,September-30-2020,Single Family Residential,32212 Cour Meyney,Temecula,CA,92591.0,510000,4.0,3.0,SRCAR - Southwest Riverside County,2228.0,8712.0,1996.0,16.0,229.0,120.0,Sold,,,http://www.redfin.com/CA/Temecula/32212-Cour-Meyney-92591/home/6327361,CRMLS,SW20132807,N,Y,33.5194277,-117.10108149999999
PAST SALE,September-23-2020,Single Family Residential,31228 Brush Creek Cir,Temecula,CA,92591.0,635000,4.0,3.5,SRCAR - Southwest Riverside County,2931.0,7841.0,2015.0,23.0,217.0,189.0,Sold,,,http://www.redfin.com/CA/Temecula/31228-Brush-Creek-Cir-92591/home/22792930,CRMLS,SW20166897,N,Y,33.553948,-117.1143878
PAST SALE,September-24-2020,Single Family Residential,31481 Sandhill Ln,Temecula,CA,92591.0,489000,3.0,2.5,SRCAR - Southwest Riverside County,2261.0,4792.0,2002.0,22.0,216.0,100.0,Sold,,,http://www.redfin.com/CA/Temecula/31481-Sandhill-Ln-92591/home/6361657,CRMLS,SW20162913,N,Y,33.5132214,-117.1096277
PAST SALE,September-23-2020,Single Family Residential,41358 Pine Tree Cir,Temecula,CA,92591.0,490000,4.0,2.5,SRCAR - Southwest Riverside County,2422.0,7405.0,2002.0,23.0,202.0,100.0,Sold,,,http://www.redfin.com/CA/Temecula/41358-Pine-Tree-Cir-92591/home/6226977,CRMLS,SW20162019,N,Y,33.519693,-117.11631070000001
PAST SALE,,Single Family Residential,29910 Cactus Pl,Temecula,CA,92592.0,366500,4.0,2.25,,2004.0,13068.0,1973.0,,183.0,,,,,http://www.redfin.com/CA/Temecula/29910-Cactus-Pl-92592/home/6197478,,,N,Y,33.499073200000005,-117.137574
PAST SALE,September-22-2020,Single Family Residential,33963 Linda Rosea Rd,Temecula,CA,92592.0,3100000,7.0,6.5,SRCAR - Southwest Riverside County,7578.0,220414.0,2017.0,24.0,409.0,42.0,Sold,,,http://www.redfin.com/CA/Temecula/33963-Linda-Rosea-Rd-92592/home/62921027,CRMLS,SW20157445,N,Y,33.506326,-117.06822939999999
